0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"COURSE 
OF 
STUDY
DISTRICT","MEDICINE
(University of Colombo)","MEDICINE
(University of Peradeniya)","MEDICINE
(University of Sri Jayewardenepura)","MEDICINE
(University of Kelaniya)","MEDICINE
(University of Jaffna)","MEDICINE
(University of Ruhuna)","MEDICINE
(University of Moratuwa)","MEDICINE
(Eastern University, Sri Lanka)","MEDICINE
(Rajarata University of Sri Lanka)","MEDICINE
(Sabaragamuwa University of Sri Lanka)","MEDICINE
(Wayamba University of Sri Lanka)","MEDICINE
(Uva Wellassa University of Sri Lanka)","DENTAL SURGERY
(University of Peradeniya)","DENTAL SURGERY
(University of Sri Jayewardenepura)","VETERINARY SCIENCE
(University of Peradeniya)","BIOCHEMISTRY & MOLECULAR BIOLOGY 
(University of Colombo)","AGRICULTURAL TECHNOLOGY & MANAGEMENT
(University of Peradeniya)","AGRICULTURE
(University of Jaffna)","AGRICULTURE
(Eastern University, Sri Lanka)","AGRICULTURE
(Rajarata University of Sri Lanka)","AGRICULTURE
(Sabaragamuwa University of Sri Lanka)","AGRICULTURE
(Wayamba University of Sri Lanka)","FOOD SCIENCE & NUTRITION
(Wayamba University of Sri Lanka)","FOOD SCIENCE & TECHNOLOGY
(University of Peradeniya)","FOOD SCIENCE & TECHNOLOGY
(University of Sri Jayewardenepura)","FOOD SCIENCE & TECHNOLOGY
(Sabaragamuwa University of Sri Lanka)","BIOLOGICAL SCIENCE
(University of Colombo)"
COLOMBO,2.3517,2.1679,2.1207,2.0428,1.8869,1.9739,1.9185,1.9521,1.8923,1.8839,1.8844,1.8893,1.8293,1.8283,1.7683,1.7958,1.3103,0.7425,0.6968,0.856,0.8864,0.774,1.2507,1.5155,1.4832,1.3548,1.6763
GAMPAHA,2.4035,2.2114,2.1252,2.0445,1.714,1.9826,1.9296,NQC,1.8819,1.7239,1.7779,1.7173,1.6946,NQC,1.666,1.6837,1.2666,0.7549,0.6345,0.8515,0.8772,0.775,1.2023,1.5225,1.6137,1.1852,NQC
KALUTARA,2.3684,2.202,2.1212,2.0467,1.8709,1.9765,1.9184,NQC,1.891,1.8613,1.8591,NQC,1.8356,1.835,1.7739,1.8033,1.3915,0.8398,NQC,0.8497,0.8511,0.8456,1.3034,1.5596,1.4886,1.4467,1.6801
MATALE,2.7472,2.2337,NQC,2.0418,1.7284,2.0065,NQC,NQC,1.8807,1.7269,1.7754,NQC,1.7257,1.7263,1.7064,1.6962,1.3837,0.8328,NQC,0.867,0.876,0.7815,1.1976,1.5572,NQC,1.3071,1.676
KANDY,2.5573,2.1677,2.1276,2.0483,1.8282,1.9735,1.9209,1.8334,1.8844,1.8268,1.8131,NQC,1.7962,NQC,1.7766,1.7727,1.3761,0.877,0.8219,0.8461,0.8658,0.8226,1.27,1.5401,1.5032,1.2235,1.6828
NUWARA ELIYA,2.4495,2.2599,NQC,2.0845,1.717,1.9828,1.9703,1.5393,1.8987,NQC,1.7931,1.5388,NQC,1.5299,1.5014,1.5219,1.274,0.7491,0.5643,0.9644,NQC,0.7928,1.15,NQC,NQC,1.0563,NQC
GALLE,2.3763,2.1838,2.1311,2.0613,1.8401,1.9731,1.9167,NQC,1.8821,1.8344,1.8312,1.8352,1.8171,NQC,1.7758,1.7941,1.3836,0.7838,0.7825,0.856,0.8476,0.7868,1.2983,1.5249,1.4909,1.4626,1.7027
MATARA,2.3541,2.1711,2.1209,2.0722,1.8572,1.981,1.9168,NQC,1.8937,1.8598,1.8604,NQC,1.8302,NQC,1.7843,1.7612,1.3573,0.8417,NQC,0.8463,0.8568,0.8255,1.2954,1.5279,1.4867,1.4611,1.6879
HAMBANTOTA,2.3528,2.1721,2.1361,2.0422,NQC,1.9723,1.9306,NQC,1.9324,1.7785,1.7989,NQC,1.7758,NQC,1.7739,1.7713,1.3956,0.9608,0.8399,0.8448,0.8505,1.03,1.2782,1.5548,1.5018,NQC,1.6831
JAFFNA,2.36,2.1763,2.1271,2.0406,1.8586,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.8361,NQC,1.7256,1.8056,1.3066,0.7592,NQC,NQC,0.864,0.8245,1.3383,1.5168,NQC,1.3203,1.7169
KILINOCHCHI,2.4083,2.212,2.1622,NQC,1.7451,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.6782,NQC,1.6525,1.5353,1.224,1.3605,0.5012,NQC,NQC,NQC,1.0777,NQC,NQC,0.955,NQC
MANNAR,NQC,NQC,NQC,NQC,1.7074,NQC,NQC,1.6131,1.9274,NQC,NQC,NQC,NQC,1.5449,1.5081,1.5368,1.0367,NQC,0.6012,NQC,NQC,0.8114,1.1288,NQC,NQC,1.3077,NQC
